Product Name,SKU,Category,Description,Price,Currency,Product Type,Image URL
BPC10 - BPC-157 10mg,BPC10,1. Tissue Repair & Recovery,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",748.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BPC10.png
TB10 - TB-500 10mg,TB10,1. Tissue Repair & Recovery,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",1048.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TB10.png
CJIP - CJC-1295 + Ipamorelin,CJIP,1. Tissue Repair & Recovery,"CJC-1295 extends how long each natural growth-hormone pulse lasts while Ipamorelin adds extra pulses, together creating a sustained increase in natural GH release — researched for recovery, body composition and sleep quality.",998.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/CJIP.png
CJD10 - CJC-1295 (No DAC) 10mg,CJD10,1. Tissue Repair & Recovery,Extends the duration of the body's natural growth-hormone pulse for more sustained release without shutting down natural production — a popular short-acting option for GH-pulse research.,948.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/CJD10.png
DSP10 - DSIP 10mg,DSP10,1. Tissue Repair & Recovery,"Crosses the blood-brain barrier and interacts with the central nervous system to promote delta-wave (deep, restorative) sleep — a key subject in sleep-cycle research.",948.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/DSP10.png
IPA10 - Ipamorelin 10mg,IPA10,1. Tissue Repair & Recovery,Mimics ghrelin to selectively stimulate growth-hormone release; studied for increased GH without materially disturbing cortisol or appetite hormones.,698.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/IPA10.png
PIN10 - Pinealon 10mg,PIN10,1. Tissue Repair & Recovery,"Investigated for its potential to support neuronal health, cognitive performance and cellular resilience.",798.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/PIN10.png
TB10A - TB-500 10mg (Alt SKU),TB10A,1. Tissue Repair & Recovery,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",1048.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TB10A.png
TB5 - TB-500 5mg,TB5,1. Tissue Repair & Recovery,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",748.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TB5.png
VIP10 - VIP 10mg,VIP10,1. Tissue Repair & Recovery,"Modulates immune responses, reduces inflammatory cytokines, improves gut-barrier function and protects neurons — studied in gut-immune-brain communication.",1548.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/VIP10.png
BPC5 - BPC-157 5mg,BPC5,1. Tissue Repair & Recovery,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",599.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BPC5.png
AOD - AOD-9604,AOD,2. Metabolic & Weight Management,"Mimics the way natural growth hormone regulates fat metabolism, helping break down stored fat and prevent new fat formation without the broader effects of full-length GH.",869.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/AOD.png
IGF1 - IGF-1 LR3,IGF1,2. Metabolic & Weight Management,"Binds IGF-1 receptors to support anabolic signalling, protein synthesis, recovery pathways and metabolic regulation over an extended half-life.",1548.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/IGF1.png
KS10 - Kisspeptin 10mg,KS10,2. Metabolic & Weight Management,"Activates the hypothalamic-pituitary-gonadal axis, stimulating release of LH and FSH — a core subject in reproductive-hormone research.",948.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/KS10.png
MS10 - MOTS-c 10mg,MS10,2. Metabolic & Weight Management,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",788.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MS10.png
MS20 - MOTS-c 20mg,MS20,2. Metabolic & Weight Management,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",1048.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MS20.png
MS40 - MOTS-c 40mg,MS40,2. Metabolic & Weight Management,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",1348.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MS40.png
NAD500 - NAD+ 500mg,NAD500,2. Metabolic & Weight Management,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",848.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/NAD500.png
RT10 - Retatrutide 10mg,RT10,2. Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",1048.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT10.png
RT20 - Retatrutide 20mg,RT20,2. Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",1448.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT20.png
