Product Name,SKU,Category,Description,Price,Currency,Product Type,Image URL,Brand
BPC-157 10mg,BPC10,Tissue Repair & Recovery,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",775.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BPC10.png,BioKissed SA
TB-500 10mg,TB10,Tissue Repair & Recovery,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",1075.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TB10.png,BioKissed SA
CJC-1295 + Ipamorelin,CJIP,Tissue Repair & Recovery,"CJC-1295 extends how long each natural growth-hormone pulse lasts while Ipamorelin adds extra pulses, together creating a sustained increase in natural GH release — researched for recovery, body composition and sleep quality.",1025.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/CJIP.png,BioKissed SA
CJC-1295 (No DAC) 10mg,CJD10,Tissue Repair & Recovery,Extends the duration of the body's natural growth-hormone pulse for more sustained release without shutting down natural production — a popular short-acting option for GH-pulse research.,975.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/CJD10.png,BioKissed SA
DSIP 10mg,DSP10,Tissue Repair & Recovery,"Crosses the blood-brain barrier and interacts with the central nervous system to promote delta-wave (deep, restorative) sleep — a key subject in sleep-cycle research.",975.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DSP10.png,BioKissed SA
Ipamorelin 10mg,IPA10,Tissue Repair & Recovery,Mimics ghrelin to selectively stimulate growth-hormone release; studied for increased GH without materially disturbing cortisol or appetite hormones.,725.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/IPA10.png,BioKissed SA
Pinealon 10mg,PIN10,Tissue Repair & Recovery,"Investigated for its potential to support neuronal health, cognitive performance and cellular resilience.",825.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/PIN10.png,BioKissed SA
TB-500 10mg (Alt SKU),TB10A,Tissue Repair & Recovery,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",1075.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TB10A.png,BioKissed SA
TB-500 5mg,TB5,Tissue Repair & Recovery,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",775.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TB5.png,BioKissed SA
VIP 10mg,VIP10,Tissue Repair & Recovery,"Modulates immune responses, reduces inflammatory cytokines, improves gut-barrier function and protects neurons — studied in gut-immune-brain communication.",1575.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/VIP10.png,BioKissed SA
