Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
bpc10,BPC10 - BPC-157 10mg,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BPC10.png,Title,Default Title,,,,,750.00,,FALSE,TRUE,,BPC10,,,,,,,FALSE,,,,,
tb10,TB10 - TB-500 10mg,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TB10.png,Title,Default Title,,,,,1050.00,,FALSE,TRUE,,TB10,,,,,,,FALSE,,,,,
cjip,CJIP - CJC-1295 + Ipamorelin,"CJC-1295 extends how long each natural growth-hormone pulse lasts while Ipamorelin adds extra pulses, together creating a sustained increase in natural GH release — researched for recovery, body composition and sleep quality.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/CJIP.png,Title,Default Title,,,,,999.00,,FALSE,TRUE,,CJIP,,,,,,,FALSE,,,,,
cjd10,CJD10 - CJC-1295 (No DAC) 10mg,Extends the duration of the body's natural growth-hormone pulse for more sustained release without shutting down natural production — a popular short-acting option for GH-pulse research.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/CJD10.png,Title,Default Title,,,,,950.00,,FALSE,TRUE,,CJD10,,,,,,,FALSE,,,,,
dsp10,DSP10 - DSIP 10mg,"Crosses the blood-brain barrier and interacts with the central nervous system to promote delta-wave (deep, restorative) sleep — a key subject in sleep-cycle research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/DSP10.png,Title,Default Title,,,,,950.00,,FALSE,TRUE,,DSP10,,,,,,,FALSE,,,,,
ipa10,IPA10 - Ipamorelin 10mg,Mimics ghrelin to selectively stimulate growth-hormone release; studied for increased GH without materially disturbing cortisol or appetite hormones.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/IPA10.png,Title,Default Title,,,,,700.00,,FALSE,TRUE,,IPA10,,,,,,,FALSE,,,,,
pin10,PIN10 - Pinealon 10mg,"Investigated for its potential to support neuronal health, cognitive performance and cellular resilience.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/PIN10.png,Title,Default Title,,,,,800.00,,FALSE,TRUE,,PIN10,,,,,,,FALSE,,,,,
tb10a,TB10A - TB-500 10mg (Alt SKU),"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TB10A.png,Title,Default Title,,,,,1050.00,,FALSE,TRUE,,TB10A,,,,,,,FALSE,,,,,
tb5,TB5 - TB-500 5mg,"Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TB5.png,Title,Default Title,,,,,750.00,,FALSE,TRUE,,TB5,,,,,,,FALSE,,,,,
vip10,VIP10 - VIP 10mg,"Modulates immune responses, reduces inflammatory cytokines, improves gut-barrier function and protects neurons — studied in gut-immune-brain communication.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/VIP10.png,Title,Default Title,,,,,1550.00,,FALSE,TRUE,,VIP10,,,,,,,FALSE,,,,,
